Frame,Time(s),x at necking point (px),y necking distance (px)
1,0.052667,2,228
2,0.105334,2,228
3,0.158001,2,228
4,0.210668,2,228
5,0.263335,2,228
6,0.316002,2,228
7,0.368669,2,228
8,0.421336,2,228
9,0.474003,1,228
10,0.52667,430,230
11,0.579337,429,230
12,0.632004,543,229
13,0.684671,535,228
14,0.737338,528,228
15,0.790005,519,227
16,0.842672,472,227
17,0.895339,498,226
18,0.948006,449,226
19,1.000673,482,225
20,1.05334,477,225
21,1.106007,405,225
22,1.158674,464,224
23,1.211341,1919,223
24,1.264008,505,223
25,1.316675,1917,222
26,1.369342,433,222
27,1.422009,1917,220
28,1.474676,1918,220
29,1.527343,1918,219
30,1.58001,1914,219
31,1.632677,1917,218
32,1.685344,1918,217
33,1.738011,1914,217
34,1.790678,1917,216
35,1.843345,1916,215
36,1.896012,1914,215
37,1.948679,1908,215
38,2.001346,1917,213
39,2.054013,1914,213
40,2.10668,1908,213
41,2.159347,1918,211
42,2.212014,1915,211
43,2.264681,1918,210
44,2.317348,1918,209
45,2.370015,1915,209
46,2.422682,1912,209
47,2.475349,1917,208
48,2.528016,1916,207
49,2.580683,1914,207
50,2.63335,1911,207
51,2.686017,1918,205
52,2.738684,1916,205
53,2.791351,1914,205
54,2.844018,1919,204
55,2.896685,1918,203
56,2.949352,1915,203
57,3.002019,1919,202
58,3.054686,1918,202
59,3.107353,1918,201
60,3.16002,1918,201
61,3.212687,1917,200
62,3.265354,1916,200
63,3.318021,1918,199
64,3.370688,1915,199
65,3.423355,1918,198
66,3.476022,1916,198
67,3.528689,1912,198
68,3.581356,1918,197
69,3.634023,1911,198
70,3.68669,1913,198
71,3.739357,1912,198
72,3.792024,1912,198
73,3.844691,1912,198
74,3.897358,1912,198
75,3.950025,1913,198
76,4.002692,1912,198
77,4.055359,1913,198
78,4.108026,1914,198
79,4.160693,1912,198
