Frame,Time(s),Tracker,x (px),y (px)
1,0.052659295,1,873,515
1,0.052659295,2,1078,511
1,0.052659295,3,1313,508
2,0.10531859,1,873,515
2,0.10531859,2,1078,511
2,0.10531859,3,1313,508
3,0.15797788,1,873,515
3,0.15797788,2,1078,511
3,0.15797788,3,1313,508
4,0.21063718,1,873,515
4,0.21063718,2,1078,511
4,0.21063718,3,1313,508
5,0.26329648,1,873,515
5,0.26329648,2,1078,511
5,0.26329648,3,1313,508
6,0.31595576,1,873,515
6,0.31595576,2,1078,511
6,0.31595576,3,1313,508
7,0.36861506,1,873,515
7,0.36861506,2,1078,511
7,0.36861506,3,1313,508
8,0.42127436,1,873,515
8,0.42127436,2,1078,511
8,0.42127436,3,1313,508
9,0.47393364,1,873,515
9,0.47393364,2,1078,511
9,0.47393364,3,1313,508
10,0.52659297,1,873,515
10,0.52659297,2,1078,511
10,0.52659297,3,1313,508
11,0.57925224,1,873,515
11,0.57925224,2,1078,511
11,0.57925224,3,1313,508
12,0.6319115,1,873,515
12,0.6319115,2,1078,511
12,0.6319115,3,1313,508
13,0.68457085,1,873,515
13,0.68457085,2,1078,511
13,0.68457085,3,1313,508
14,0.7372301,1,873,515
14,0.7372301,2,1078,511
14,0.7372301,3,1313,508
15,0.7898894,1,873,515
15,0.7898894,2,1078,511
15,0.7898894,3,1313,508
16,0.8425487,1,873,515
16,0.8425487,2,1078,511
16,0.8425487,3,1313,508
17,0.895208,1,873,515
17,0.895208,2,1078,511
17,0.895208,3,1313,508
18,0.9478673,1,873,515
18,0.9478673,2,1078,511
18,0.9478673,3,1313,508
19,1.0005265,1,873,515
19,1.0005265,2,1078,511
19,1.0005265,3,1313,508
20,1.0531859,1,873,515
20,1.0531859,2,1078,511
20,1.0531859,3,1313,508
21,1.1058452,1,873,515
21,1.1058452,2,1078,511
21,1.1058452,3,1313,508
22,1.1585045,1,873,515
22,1.1585045,2,1078,511
22,1.1585045,3,1313,508
23,1.2111638,1,873,515
23,1.2111638,2,1078,511
23,1.2111638,3,1313,508
24,1.263823,1,873,515
24,1.263823,2,1078,511
24,1.263823,3,1313,508
25,1.3164823,1,873,515
25,1.3164823,2,1078,511
25,1.3164823,3,1313,508
26,1.3691417,1,873,515
26,1.3691417,2,1078,511
26,1.3691417,3,1313,508
27,1.421801,1,873,515
27,1.421801,2,1078,511
27,1.421801,3,1313,508
28,1.4744602,1,873,515
28,1.4744602,2,1078,511
28,1.4744602,3,1313,508
29,1.5271195,1,873,515
29,1.5271195,2,1078,511
29,1.5271195,3,1313,508
30,1.5797788,1,873,515
30,1.5797788,2,1078,511
30,1.5797788,3,1313,508
31,1.6324382,1,873,515
31,1.6324382,2,1078,511
31,1.6324382,3,1313,508
32,1.6850975,1,873,515
32,1.6850975,2,1078,511
32,1.6850975,3,1313,508
33,1.7377567,1,873,515
33,1.7377567,2,1078,511
33,1.7377567,3,1313,508
34,1.790416,1,873,515
34,1.790416,2,1078,511
34,1.790416,3,1313,508
35,1.8430753,1,873,515
35,1.8430753,2,1078,511
35,1.8430753,3,1313,508
36,1.8957345,1,873,515
36,1.8957345,2,1078,511
36,1.8957345,3,1313,508
37,1.948394,1,873,515
37,1.948394,2,1078,511
37,1.948394,3,1313,508
38,2.001053,1,873,515
38,2.001053,2,1078,511
38,2.001053,3,1313,508
39,2.0537124,1,873,515
39,2.0537124,2,1078,511
39,2.0537124,3,1313,508
40,2.1063719,1,873,515
40,2.1063719,2,1078,511
40,2.1063719,3,1313,508
41,2.1590312,1,873,515
41,2.1590312,2,1078,511
41,2.1590312,3,1313,508
42,2.2116904,1,873,515
42,2.2116904,2,1078,511
42,2.2116904,3,1313,508
43,2.2643497,1,873,515
43,2.2643497,2,1078,511
43,2.2643497,3,1313,508
44,2.317009,1,873,515
44,2.317009,2,1078,511
44,2.317009,3,1313,508
45,2.3696682,1,873,515
45,2.3696682,2,1078,511
45,2.3696682,3,1313,508
46,2.4223275,1,873,515
46,2.4223275,2,1078,511
46,2.4223275,3,1313,508
47,2.4749868,1,873,515
47,2.4749868,2,1078,511
47,2.4749868,3,1313,508
48,2.527646,1,873,515
48,2.527646,2,1078,511
48,2.527646,3,1313,508
49,2.5803053,1,873,515
49,2.5803053,2,1078,511
49,2.5803053,3,1313,508
50,2.6329646,1,873,515
50,2.6329646,2,1078,511
50,2.6329646,3,1313,508
51,2.6856241,1,873,515
51,2.6856241,2,1078,511
51,2.6856241,3,1313,508
52,2.7382834,1,873,515
52,2.7382834,2,1078,511
52,2.7382834,3,1313,508
53,2.7909427,1,873,515
53,2.7909427,2,1078,511
53,2.7909427,3,1313,508
54,2.843602,1,873,515
54,2.843602,2,1078,511
54,2.843602,3,1313,508
55,2.8962612,1,873,515
55,2.8962612,2,1078,511
55,2.8962612,3,1313,508
56,2.9489205,1,873,515
56,2.9489205,2,1078,511
56,2.9489205,3,1313,508
57,3.0015798,1,873,515
57,3.0015798,2,1078,511
57,3.0015798,3,1313,508
58,3.054239,1,873,515
58,3.054239,2,1078,511
58,3.054239,3,1313,508
59,3.1068983,1,873,515
59,3.1068983,2,1078,511
59,3.1068983,3,1313,508
60,3.1595576,1,873,515
60,3.1595576,2,1078,511
60,3.1595576,3,1313,508
61,3.2122169,1,873,515
61,3.2122169,2,1078,511
61,3.2122169,3,1313,508
62,3.2648764,1,873,515
62,3.2648764,2,1078,511
62,3.2648764,3,1313,508
63,3.3175356,1,873,515
63,3.3175356,2,1078,511
63,3.3175356,3,1313,508
64,3.370195,1,873,515
64,3.370195,2,1078,511
64,3.370195,3,1313,508
65,3.4228542,1,873,515
65,3.4228542,2,1078,511
65,3.4228542,3,1313,508
66,3.4755135,1,873,515
66,3.4755135,2,1078,511
66,3.4755135,3,1313,508
67,3.5281727,1,873,515
67,3.5281727,2,1078,511
67,3.5281727,3,1313,508
68,3.580832,1,873,515
68,3.580832,2,1078,511
68,3.580832,3,1313,508
69,3.6334913,1,873,515
69,3.6334913,2,1078,511
69,3.6334913,3,1313,508
70,3.6861506,1,873,515
70,3.6861506,2,1078,511
70,3.6861506,3,1313,508
71,3.7388098,1,872,515
71,3.7388098,2,1077,511
71,3.7388098,3,1312,508
72,3.791469,1,872,515
72,3.791469,2,1077,511
72,3.791469,3,1312,508
73,3.8441284,1,871,515
73,3.8441284,2,1077,511
73,3.8441284,3,1312,508
74,3.896788,1,871,515
74,3.896788,2,1077,511
74,3.896788,3,1312,508
75,3.9494472,1,871,515
75,3.9494472,2,1076,511
75,3.9494472,3,1311,508
76,4.002106,1,870,515
76,4.002106,2,1076,511
76,4.002106,3,1311,508
77,4.0547657,1,870,515
77,4.0547657,2,1076,511
77,4.0547657,3,1311,508
78,4.1074247,1,870,515
78,4.1074247,2,1075,511
78,4.1074247,3,1311,508
79,4.1600842,1,869,515
79,4.1600842,2,1075,511
79,4.1600842,3,1310,508
80,4.2127438,1,869,515
80,4.2127438,2,1075,511
80,4.2127438,3,1310,508
81,4.265403,1,869,515
81,4.265403,2,1074,511
81,4.265403,3,1310,508
82,4.3180623,1,868,515
82,4.3180623,2,1074,511
82,4.3180623,3,1310,508
83,4.3707213,1,868,515
83,4.3707213,2,1074,511
83,4.3707213,3,1309,508
84,4.423381,1,867,515
84,4.423381,2,1073,511
84,4.423381,3,1309,508
85,4.47604,1,867,515
85,4.47604,2,1073,511
85,4.47604,3,1309,508
86,4.5286994,1,867,515
86,4.5286994,2,1073,511
86,4.5286994,3,1309,508
87,4.5813584,1,866,515
87,4.5813584,2,1072,511
87,4.5813584,3,1308,508
88,4.634018,1,866,515
88,4.634018,2,1072,511
88,4.634018,3,1308,508
89,4.686677,1,866,515
89,4.686677,2,1072,511
89,4.686677,3,1308,508
90,4.7393365,1,865,515
90,4.7393365,2,1071,512
90,4.7393365,3,1308,509
91,4.791996,1,865,515
91,4.791996,2,1071,512
91,4.791996,3,1308,509
92,4.844655,1,865,515
92,4.844655,2,1071,512
92,4.844655,3,1307,509
93,4.8973145,1,864,515
93,4.8973145,2,1070,512
93,4.8973145,3,1307,509
94,4.9499736,1,864,515
94,4.9499736,2,1070,512
94,4.9499736,3,1307,509
95,5.002633,1,863,515
95,5.002633,2,1070,512
95,5.002633,3,1306,509
96,5.055292,1,863,515
96,5.055292,2,1070,512
96,5.055292,3,1306,509
97,5.1079516,1,863,515
97,5.1079516,2,1069,512
97,5.1079516,3,1306,509
98,5.1606107,1,862,515
98,5.1606107,2,1069,512
98,5.1606107,3,1306,509
99,5.21327,1,862,515
99,5.21327,2,1069,512
99,5.21327,3,1305,509
100,5.265929,1,862,515
100,5.265929,2,1068,512
100,5.265929,3,1305,509
101,5.3185887,1,861,515
101,5.3185887,2,1068,512
101,5.3185887,3,1305,509
102,5.3712482,1,861,515
102,5.3712482,2,1068,512
102,5.3712482,3,1305,509
103,5.4239073,1,860,515
103,5.4239073,2,1067,512
103,5.4239073,3,1305,509
104,5.476567,1,860,515
104,5.476567,2,1067,512
104,5.476567,3,1304,509
105,5.529226,1,860,515
105,5.529226,2,1067,512
105,5.529226,3,1304,509
106,5.5818853,1,859,515
106,5.5818853,2,1066,512
106,5.5818853,3,1304,509
107,5.6345444,1,859,515
107,5.6345444,2,1066,512
107,5.6345444,3,1303,509
108,5.687204,1,859,515
108,5.687204,2,1066,512
108,5.687204,3,1303,509
109,5.739863,1,858,515
109,5.739863,2,1066,512
109,5.739863,3,1303,509
110,5.7925224,1,858,515
110,5.7925224,2,1065,512
110,5.7925224,3,1303,509
111,5.8451815,1,858,515
111,5.8451815,2,1065,512
111,5.8451815,3,1302,509
112,5.897841,1,857,515
112,5.897841,2,1065,512
112,5.897841,3,1302,509
113,5.9505005,1,857,515
113,5.9505005,2,1064,512
113,5.9505005,3,1302,509
114,6.0031595,1,856,515
114,6.0031595,2,1064,512
114,6.0031595,3,1302,509
115,6.055819,1,856,515
115,6.055819,2,1064,512
115,6.055819,3,1302,509
116,6.108478,1,856,515
116,6.108478,2,1063,512
116,6.108478,3,1301,509
117,6.1611376,1,855,515
117,6.1611376,2,1063,512
117,6.1611376,3,1301,509
118,6.2137966,1,855,515
118,6.2137966,2,1063,512
118,6.2137966,3,1301,509
119,6.266456,1,855,515
119,6.266456,2,1062,512
119,6.266456,3,1300,509
120,6.319115,1,854,515
120,6.319115,2,1062,512
120,6.319115,3,1300,509
121,6.3717747,1,854,515
121,6.3717747,2,1062,512
121,6.3717747,3,1300,509
122,6.4244337,1,853,515
122,6.4244337,2,1061,512
122,6.4244337,3,1300,509
123,6.477093,1,853,515
123,6.477093,2,1061,512
123,6.477093,3,1300,509
124,6.5297527,1,853,515
124,6.5297527,2,1061,512
124,6.5297527,3,1299,509
125,6.582412,1,852,515
